WORD,MPQA,OPENER,OL,VADER,IN_VOCAB,ANNOTATION
ability,1.0,1.0,0.775,0.325,True,0.0
able,1.0,1.0,1.0,1.0,True,0.0
above,1.0,1.0,1.0,1.0,True,1.0
abrupt,-1.0,-1.0,-1.0,-1.0,True,-1.0
absolute,0.0,0.0,0.0,0.0,True,0.0
absolutely,0.0,0.0,0.0,0.0,True,0.0
accident,-0.525,-0.525,-0.525,-0.525,True,0.0
accomplished,0.7375,0.7375,1.0,0.475,True,1.0
acknowledge,1.0,1.0,1.0,1.0,True,0.0
actual,0.0,0.0,0.0,0.0,True,0.0
actually,0.0,0.0,0.0,0.0,True,0.0
addict,-1.0,-1.0,-1.0,-1.0,True,1.0
addicted,-1.0,-1.0,-1.0,-1.0,True,1.0
adequate,1.0,1.0,1.0,0.225,True,1.0
advanced,1.0,1.0,1.0,0.25,True,1.0
advantage,1.0,1.0,1.0,0.25,True,1.0
adversary,-1.0,-1.0,-1.0,-0.2,True,-1.0
affect,0.0,0.0,0.0,0.0,True,0.0
afford,1.0,1.0,1.0,1.0,True,1.0
affordable,1.0,1.0,1.0,1.0,True,1.0
against,-1.0,-1.0,-1.0,-1.0,True,-1.0
agree,1.0,1.0,0.7916666666666666,0.375,True,0.0
agreed,0.275,0.275,0.275,0.275,True,0.0
air,0.0,0.0,0.0,0.0,True,0.0
allow,1.0,1.0,0.7416666666666667,0.225,True,0.0
alone,-0.25,-0.25,-0.25,-0.25,True,0.0
alright,0.25,0.25,0.25,0.25,True,1.0
although,-1.0,-1.0,-1.0,-1.0,True,0.0
amazed,1.0,1.0,1.0,0.55,True,1.0
amazing,1.0,1.0,1.0,0.7,True,1.0
amazingly,1.0,1.0,1.0,1.0,True,1.0
amazon,0.175,0.175,0.175,0.175,True,0.0
annoying,-1.0,-1.0,-1.0,-0.425,True,-1.0
anyway,0.0,0.0,0.0,0.0,True,0.0
anyways,0.0,0.0,0.0,0.0,True,0.0
apparently,0.0,0.0,0.0,0.0,True,0.0
appearance,0.0,0.0,0.0,0.0,True,0.0
appreciate,1.0,1.0,1.0,0.425,True,1.0
approval,1.0,1.0,1.0,0.525,True,1.0
aspire,1.0,1.0,1.0,1.0,True,1.0
assuring,0.7,0.7,1.0,0.4,True,1.0
astonishing,1.0,1.0,1.0,1.0,True,1.0
attachment,0.3,0.3,0.3,0.3,True,0.0
attest,1.0,1.0,1.0,1.0,True,1.0
attractive,1.0,1.0,1.0,0.475,True,1.0
available,1.0,1.0,1.0,1.0,True,1.0
avid,1.0,1.0,1.0,0.3,True,1.0
avoid,-1.0,-1.0,-0.7666666666666666,-0.3,True,-1.0
aware,0.0,0.0,0.0,0.0,True,0.0
awe,1.0,1.0,1.0,1.0,True,1.0
awesome,1.0,1.0,1.0,0.775,True,1.0
awful,-1.0,-1.0,-1.0,-0.5,True,-1.0
baby,0.0,0.0,0.0,0.0,True,0.0
back,1.0,1.0,1.0,1.0,True,0.0
bad,-1.0,-1.0,-1.0,-0.625,True,-1.0
barely,-1.0,-1.0,-1.0,-1.0,True,-1.0
bargain,1.0,1.0,1.0,0.2,True,1.0
basic,1.0,1.0,1.0,1.0,True,0.0
beast,-1.0,-1.0,-1.0,-1.0,True,1.0
beautiful,1.0,1.0,1.0,0.725,True,1.0
beautifully,1.0,1.0,1.0,0.675,True,1.0
