WORD,MPQA,OPENER,OL,VADER,IN_VOCAB,ANNOTATION
ability,1.0,1.0,0.775,0.325,True,
able,1.0,1.0,1.0,1.0,True,
above,1.0,1.0,1.0,1.0,True,
abrupt,-1.0,-1.0,-1.0,-1.0,True,
absolute,0.0,0.0,0.0,0.0,True,
absolutely,0.0,0.0,0.0,0.0,True,
accident,-0.525,-0.525,-0.525,-0.525,True,
accomplished,0.7375,0.7375,1.0,0.475,True,
acknowledge,1.0,1.0,1.0,1.0,True,
actual,0.0,0.0,0.0,0.0,True,
actually,0.0,0.0,0.0,0.0,True,
addict,-1.0,-1.0,-1.0,-1.0,True,
addicted,-1.0,-1.0,-1.0,-1.0,True,
adequate,1.0,1.0,1.0,0.225,True,
advanced,1.0,1.0,1.0,0.25,True,
advantage,1.0,1.0,1.0,0.25,True,
adversary,-1.0,-1.0,-1.0,-0.2,True,
affect,0.0,0.0,0.0,0.0,True,
afford,1.0,1.0,1.0,1.0,True,
affordable,1.0,1.0,1.0,1.0,True,
against,-1.0,-1.0,-1.0,-1.0,True,
agree,1.0,1.0,0.7916666666666666,0.375,True,
agreed,0.275,0.275,0.275,0.275,True,
air,0.0,0.0,0.0,0.0,True,
allow,1.0,1.0,0.7416666666666667,0.225,True,
alone,-0.25,-0.25,-0.25,-0.25,True,
alright,0.25,0.25,0.25,0.25,True,
although,-1.0,-1.0,-1.0,-1.0,True,
amazed,1.0,1.0,1.0,0.55,True,
amazing,1.0,1.0,1.0,0.7,True,
amazingly,1.0,1.0,1.0,1.0,True,
amazon,0.175,0.175,0.175,0.175,True,
annoying,-1.0,-1.0,-1.0,-0.425,True,
anyway,0.0,0.0,0.0,0.0,True,
anyways,0.0,0.0,0.0,0.0,True,
apparently,0.0,0.0,0.0,0.0,True,
appearance,0.0,0.0,0.0,0.0,True,
appreciate,1.0,1.0,1.0,0.425,True,
approval,1.0,1.0,1.0,0.525,True,
aspire,1.0,1.0,1.0,1.0,True,
assuring,0.7,0.7,1.0,0.4,True,
astonishing,1.0,1.0,1.0,1.0,True,
attachment,0.3,0.3,0.3,0.3,True,
attest,1.0,1.0,1.0,1.0,True,
attractive,1.0,1.0,1.0,0.475,True,
available,1.0,1.0,1.0,1.0,True,
avid,1.0,1.0,1.0,0.3,True,
avoid,-1.0,-1.0,-0.7666666666666666,-0.3,True,
aware,0.0,0.0,0.0,0.0,True,
awe,1.0,1.0,1.0,1.0,True,
awesome,1.0,1.0,1.0,0.775,True,
awful,-1.0,-1.0,-1.0,-0.5,True,
baby,0.0,0.0,0.0,0.0,True,
back,1.0,1.0,1.0,1.0,True,
bad,-1.0,-1.0,-1.0,-0.625,True,
barely,-1.0,-1.0,-1.0,-1.0,True,
bargain,1.0,1.0,1.0,0.2,True,
basic,1.0,1.0,1.0,1.0,True,
beast,-1.0,-1.0,-1.0,-1.0,True,
beautiful,1.0,1.0,1.0,0.725,True,
beautifully,1.0,1.0,1.0,0.675,True,
beauty,1.0,1.0,1.0,0.7,True,
believe,0.0,0.0,0.0,0.0,True,
benefits,1.0,1.0,1.0,0.4,True,
besides,0.0,0.0,0.0,0.0,True,
best,1.0,1.0,1.0,0.8,True,
better,1.0,1.0,1.0,0.475,True,
beware,-1.0,-1.0,-1.0,-1.0,True,
big,0.0,0.0,0.0,0.0,True,
black,-1.0,-1.0,-1.0,-1.0,True,
blame,-1.0,-1.0,-1.0,-0.35,True,
block,-1.0,-1.0,-0.8250000000000001,-0.475,True,
bloody,-1.0,-1.0,-1.0,-0.475,True,
bonus,1.0,1.0,1.0,0.625,True,
bother,-1.0,-1.0,-1.0,-0.35,True,
break,-1.0,-1.0,-1.0,-1.0,True,
breaking,-1.0,-1.0,-1.0,-1.0,True,
breaks,-1.0,-1.0,-1.0,-1.0,True,
bright,1.0,1.0,1.0,0.475,True,
brightness,1.0,1.0,0.7999999999999999,0.4,True,
broad,1.0,1.0,1.0,1.0,True,
broke,-1.0,-1.0,-1.0,-0.45,True,
broken,-0.7625,-0.7625,-1.0,-0.525,True,
bug,-1.0,-1.0,-1.0,-1.0,True,
bummer,-0.4,-0.4,-0.4,-0.4,True,
bumping,-1.0,-1.0,-1.0,-1.0,True,
burn,-1.0,-1.0,-1.0,-1.0,True,
burned,-1.0,-1.0,-1.0,-1.0,True,
burning,-1.0,-1.0,-1.0,-1.0,True,
cancel,-0.25,-0.25,-0.25,-0.25,True,
capable,1.0,1.0,1.0,0.4,True,
care,1.0,1.0,0.85,0.55,True,
cared,0.45,0.45,0.45,0.45,True,
careful,1.0,1.0,0.7166666666666667,0.15,True,
casual,0.2,0.2,0.2,0.2,True,
certain,0.0,0.0,0.09166666666666667,0.275,True,
certainly,0.0,0.0,0.11666666666666665,0.35,True,
challenge,-1.0,-1.0,-0.6416666666666667,0.075,True,
champion,1.0,1.0,1.0,0.725,True,
chance,0.25,0.25,0.25,0.25,True,
charged,-0.2,-0.2,-0.2,-0.2,True,
charges,-0.275,-0.275,-0.275,-0.275,True,
charm,1.0,1.0,1.0,0.425,True,
cheap,-1.0,-1.0,-1.0,-1.0,True,
cheaper,1.0,1.0,1.0,1.0,True,
cheapest,1.0,1.0,1.0,1.0,True,
cheaply,-1.0,-1.0,-1.0,-1.0,True,
