WORD,ANNOTATION,A1,A2
ability,0.0,0.0,0.0
able,0.0,0.0,0.0
above,1.0,1.0,1.0
abrupt,-1.0,-1.0,-1.0
absolute,0.0,0.0,0.0
absolutely,0.0,0.0,0.0
accident,-1.0,-1.0,-1.0
accomplished,1.0,1.0,1.0
acknowledge,0.0,0.0,0.0
actual,0.0,0.0,0.0
actually,0.0,0.0,0.0
addict,1.0,1.0,1.0
addicted,1.0,1.0,1.0
adequate,1.0,1.0,1.0
advanced,1.0,1.0,1.0
advantage,1.0,1.0,1.0
adversary,-1.0,-1.0,-1.0
affect,0.0,0.0,0.0
afford,1.0,1.0,1.0
affordable,1.0,1.0,1.0
against,-1.0,-1.0,-1.0
agree,0.0,0.0,0.0
agreed,0.0,0.0,0.0
air,0.0,0.0,0.0
allow,0.0,0.0,0.0
alone,0.0,0.0,0.0
alright,1.0,1.0,1.0
although,0.0,0.0,0.0
amazed,1.0,1.0,1.0
amazing,1.0,1.0,1.0
amazingly,1.0,1.0,1.0
amazon,0.0,0.0,0.0
annoying,-1.0,-1.0,-1.0
anyway,0.0,0.0,0.0
anyways,0.0,0.0,0.0
apparently,0.0,0.0,0.0
appearance,0.0,0.0,0.0
appreciate,1.0,1.0,1.0
approval,1.0,1.0,1.0
aspire,1.0,1.0,1.0
assuring,1.0,1.0,1.0
astonishing,1.0,1.0,1.0
attachment,0.0,0.0,0.0
attest,1.0,1.0,1.0
attractive,1.0,1.0,1.0
available,1.0,1.0,1.0
avid,1.0,1.0,1.0
avoid,-1.0,-1.0,-1.0
aware,0.0,0.0,0.0
awe,1.0,1.0,1.0
awesome,1.0,1.0,1.0
awful,-1.0,-1.0,-1.0
baby,0.0,0.0,0.0
back,0.0,0.0,0.0
bad,-1.0,-1.0,-1.0
barely,-1.0,-1.0,-1.0
bargain,1.0,1.0,1.0
basic,0.0,0.0,0.0
beast,1.0,1.0,1.0
beautiful,1.0,1.0,1.0
beautifully,1.0,1.0,1.0
beauty,1.0,1.0,1.0
believe,0.0,0.0,0.0
benefits,1.0,1.0,1.0
besides,0.0,0.0,0.0
best,1.0,1.0,1.0
better,1.0,1.0,1.0
beware,-1.0,-1.0,-1.0
big,0.0,0.0,0.0
black,0.0,0.0,0.0
blame,-1.0,-1.0,-1.0
block,0.0,0.0,0.0
bloody,-1.0,-1.0,-1.0
bonus,1.0,1.0,1.0
bother,-1.0,-1.0,-1.0
break,-1.0,-1.0,-1.0
breaking,-1.0,-1.0,-1.0
breaks,-1.0,-1.0,-1.0
bright,1.0,1.0,1.0
brightness,0.0,0.0,0.0
broad,0.0,0.0,0.0
broke,-1.0,-1.0,-1.0
broken,-1.0,-1.0,-1.0
bug,-1.0,-1.0,-1.0
bummer,-1.0,-1.0,-1.0
bumping,1.0,1.0,1.0
burn,-1.0,-1.0,-1.0
burned,-1.0,-1.0,-1.0
burning,-1.0,-1.0,-1.0
cancel,-1.0,-1.0,-1.0
capable,1.0,1.0,1.0
care,0.0,0.0,0.0
cared,0.0,0.0,0.0
careful,-1.0,-1.0,-1.0
casual,0.0,0.0,0.0
certain,0.0,0.0,0.0
certainly,0.0,0.0,0.0
challenge,0.0,0.0,0.0
champion,1.0,1.0,1.0
chance,0.0,0.0,0.0
charged,0.0,0.0,0.0
charges,0.0,0.0,0.0
charm,1.0,1.0,1.0
cheap,0.0,0.0,0.0
