WORD,MPQA,OPENER,OL,VADER,ANNOTATION,RAW_AVG
ability,1.0,1.0,0.775,0.325,0.0,0.775
able,1.0,1.0,1.0,1.0,0.0,1.0
above,1.0,1.0,1.0,1.0,1.0,1.0
abrupt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
absolute,0.0,0.0,0.0,0.0,0.0,0.0
absolutely,0.0,0.0,0.0,0.0,0.0,0.0
accident,-0.525,-0.525,-0.525,-0.525,0.0,-0.525
accomplished,0.7375,0.7375,1.0,0.475,1.0,0.7375
acknowledge,1.0,1.0,1.0,1.0,0.0,1.0
actual,0.0,0.0,0.0,0.0,0.0,0.0
actually,0.0,0.0,0.0,0.0,0.0,0.0
addict,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
addicted,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
adequate,1.0,1.0,1.0,0.225,1.0,0.80625
advanced,1.0,1.0,1.0,0.25,1.0,0.8125
advantage,1.0,1.0,1.0,0.25,1.0,0.8125
adversary,-1.0,-1.0,-1.0,-0.2,-1.0,-0.8
affect,0.0,0.0,0.0,0.0,0.0,0.0
afford,1.0,1.0,1.0,1.0,1.0,1.0
affordable,1.0,1.0,1.0,1.0,1.0,1.0
against,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
agree,1.0,1.0,0.7916666666666666,0.375,0.0,0.7916666666666666
agreed,0.275,0.275,0.275,0.275,0.0,0.275
air,0.0,0.0,0.0,0.0,0.0,0.0
allow,1.0,1.0,0.7416666666666667,0.225,0.0,0.7416666666666667
alone,-0.25,-0.25,-0.25,-0.25,0.0,-0.25
alright,0.25,0.25,0.25,0.25,1.0,0.25
although,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
amazed,1.0,1.0,1.0,0.55,1.0,0.8875
amazing,1.0,1.0,1.0,0.7,1.0,0.925
amazingly,1.0,1.0,1.0,1.0,1.0,1.0
amazon,0.175,0.175,0.175,0.175,0.0,0.175
annoying,-1.0,-1.0,-1.0,-0.425,-1.0,-0.85625
