WORD,MPQA,OPENER,OL,VADER,DALX
$:,-0.375,-0.375,-0.375,-0.375,
%),-0.1,-0.1,-0.1,-0.1,
%-),-0.375,-0.375,-0.375,-0.375,
&-:,-0.1,-0.1,-0.1,-0.1,
&:,-0.175,-0.175,-0.175,-0.175,
( '}{' ),0.4,0.4,0.4,0.4,
(%,-0.225,-0.225,-0.225,-0.225,
('-:,0.55,0.55,0.55,0.55,
(':,0.575,0.575,0.575,0.575,
((-:,0.525,0.525,0.525,0.525,
(*,0.275,0.275,0.275,0.275,
(-%,-0.175,-0.175,-0.175,-0.175,
(-*,0.325,0.325,0.325,0.325,
(-:,0.4,0.4,0.4,0.4,
(-:0,0.7,0.7,0.7,0.7,
(-:<,-0.1,-0.1,-0.1,-0.1,
(-:O,0.375,0.375,0.375,0.375,
(-:o,0.375,0.375,0.375,0.375,
(-:{,-0.025,-0.025,-0.025,-0.025,
(-:|>*,0.475,0.475,0.475,0.475,
(-;,0.325,0.325,0.325,0.325,
(-;|,0.525,0.525,0.525,0.525,
(8,0.65,0.65,0.65,0.65,
(:,0.55,0.55,0.55,0.55,
(:0,0.6,0.6,0.6,0.6,
(:<,-0.05,-0.05,-0.05,-0.05,
(:O,0.625,0.625,0.625,0.625,
(:o,0.625,0.625,0.625,0.625,
(;,0.275,0.275,0.275,0.275,
(;<,0.075,0.075,0.075,0.075,
(=,0.55,0.55,0.55,0.55,
(?:,0.525,0.525,0.525,0.525,
(^:,0.375,0.375,0.375,0.375,
(^;,0.375,0.375,0.375,0.375,
(^;0,0.5,0.5,0.5,0.5,
(^;o,0.475,0.475,0.475,0.475,
(o:,0.4,0.4,0.4,0.4,
)':,-0.5,-0.5,-0.5,-0.5,
)-':,-0.525,-0.525,-0.525,-0.525,
)-:,-0.525,-0.525,-0.525,-0.525,
)-:<,-0.55,-0.55,-0.55,-0.55,
)-:{,-0.525,-0.525,-0.525,-0.525,
):,-0.45,-0.45,-0.45,-0.45,
):<,-0.475,-0.475,-0.475,-0.475,
):{,-0.575,-0.575,-0.575,-0.575,
);<,-0.65,-0.65,-0.65,-0.65,
*),0.15,0.15,0.15,0.15,
*-),0.075,0.075,0.075,0.075,
*-:,0.525,0.525,0.525,0.525,
*-;,0.6,0.6,0.6,0.6,
*:,0.475,0.475,0.475,0.475,
*<|:-),0.4,0.4,0.4,0.4,
*\0/*,0.575,0.575,0.575,0.575,
*^:,0.4,0.4,0.4,0.4,
",-:",0.3,0.3,0.3,0.3,
---'-;-{@,0.575,0.575,0.575,0.575,
--<--<@,0.55,0.55,0.55,0.55,
.-:,-0.3,-0.3,-0.3,-0.3,
..###-:,-0.425,-0.425,-0.425,-0.425,
..###:,-0.475,-0.475,-0.475,-0.475,
/-:,-0.325,-0.325,-0.325,-0.325,
/:,-0.325,-0.325,-0.325,-0.325,
/:<,-0.35,-0.35,-0.35,-0.35,
/=,-0.225,-0.225,-0.225,-0.225,
/^:,-0.25,-0.25,-0.25,-0.25,
/o:,-0.35,-0.35,-0.35,-0.35,
0-8,0.025,0.025,0.025,0.025,
0-|,-0.3,-0.3,-0.3,-0.3,
0:),0.475,0.475,0.475,0.475,
0:-),0.35,0.35,0.35,0.35,
0:-3,0.375,0.375,0.375,0.375,
0:03,0.475,0.475,0.475,0.475,
0;^),0.4,0.4,0.4,0.4,
0_o,-0.075,-0.075,-0.075,-0.075,
10q,0.525,0.525,0.525,0.525,
1337,0.525,0.525,0.525,0.525,
143,0.8,0.8,0.8,0.8,
1432,0.65,0.65,0.65,0.65,
14aa41,0.6,0.6,0.6,0.6,
182,-0.725,-0.725,-0.725,-0.725,
187,-0.14079578636055534,-0.14079578636055534,-0.14079578636055534,-0.14079578636055534,-0.14079578636055534
2-faced,-1.0,-1.0,-1.0,-1.0,
2-faces,-1.0,-1.0,-1.0,-1.0,
2g2b4g,0.7,0.7,0.7,0.7,
2g2bt,-0.025,-0.025,-0.025,-0.025,
2qt,0.525,0.525,0.525,0.525,
3:(,-0.55,-0.55,-0.55,-0.55,
3:),0.125,0.125,0.125,0.125,
3:-(,-0.575,-0.575,-0.575,-0.575,
3:-),-0.35,-0.35,-0.35,-0.35,
4col,-0.55,-0.55,-0.55,-0.55,
4q,-0.775,-0.775,-0.775,-0.775,
5fs,0.375,0.375,0.375,0.375,
8),0.475,0.475,0.475,0.475,
8-d,0.425,0.425,0.425,0.425,
8-o,-0.075,-0.075,-0.075,-0.075,
86,-0.05089681183415443,-0.05089681183415443,-0.05089681183415443,-0.05089681183415443,-0.05089681183415443
8d,-0.18339090759278745,-0.18339090759278745,-0.18339090759278745,-0.18339090759278745,-0.18339090759278745
:###..,-0.6,-0.6,-0.6,-0.6,
:$,-0.05,-0.05,-0.05,-0.05,
:&,-0.15,-0.15,-0.15,-0.15,
:'(,-0.55,-0.55,-0.55,-0.55,
:'),0.575,0.575,0.575,0.575,
:'-(,-0.6,-0.6,-0.6,-0.6,
:'-),0.675,0.675,0.675,0.675,
:(,-0.475,-0.475,-0.475,-0.475,
:),0.5,0.5,0.5,0.5,
:*,0.625,0.625,0.625,0.625,
:-###..,-0.625,-0.625,-0.625,-0.625,
:-&,-0.125,-0.125,-0.125,-0.125,
:-(,-0.375,-0.375,-0.375,-0.375,
:-),0.325,0.325,0.325,0.325,
:-)),0.7,0.7,0.7,0.7,
:-*,0.425,0.425,0.425,0.425,
":-,",0.275,0.275,0.275,0.275,
:-.,-0.225,-0.225,-0.225,-0.225,
:-/,-0.3,-0.3,-0.3,-0.3,
:-<,-0.375,-0.375,-0.375,-0.375,
:-D,0.575,0.575,0.575,0.575,
:-[,-0.4,-0.4,-0.4,-0.4,
:-\,-0.225,-0.225,-0.225,-0.225,
:-c,-0.325,-0.325,-0.325,-0.325,
:-d,0.575,0.575,0.575,0.575,
:-o,0.025,0.025,0.025,0.025,
:-p,0.3375,0.3375,0.3375,0.3375,
:-|,-0.175,-0.175,-0.175,-0.175,
:-||,-0.625,-0.625,-0.625,-0.625,
:-Þ,0.225,0.225,0.225,0.225,
:/,-0.35,-0.35,-0.35,-0.35,
:3,0.575,0.575,0.575,0.575,
:<,-0.525,-0.525,-0.525,-0.525,
:>,0.525,0.525,0.525,0.525,
:?),0.325,0.325,0.325,0.325,
